DateTime,New Addresses,Active Addresses,Zero Balance Addresses,Price
2010-05-22T00:00:00.000Z,209,345,133,
2010-05-23T00:00:00.000Z,288,449,175,
2010-05-24T00:00:00.000Z,226,328,112,
2010-05-25T00:00:00.000Z,233,345,117,
2010-05-26T00:00:00.000Z,262,403,146,
2010-05-27T00:00:00.000Z,231,382,161,
2010-05-28T00:00:00.000Z,265,360,92,
2010-05-29T00:00:00.000Z,220,360,140,
2010-05-30T00:00:00.000Z,186,271,79,
2010-05-31T00:00:00.000Z,179,281,95,
2010-06-01T00:00:00.000Z,166,276,100,
2010-06-02T00:00:00.000Z,177,257,73,
2010-06-03T00:00:00.000Z,208,402,201,
2010-06-04T00:00:00.000Z,162,236,65,
2010-06-05T00:00:00.000Z,169,261,86,
2010-06-06T00:00:00.000Z,179,270,81,
2010-06-07T00:00:00.000Z,187,480,285,
2010-06-08T00:00:00.000Z,212,340,129,
2010-06-09T00:00:00.000Z,210,352,147,
2010-06-10T00:00:00.000Z,202,287,83,
2010-06-11T00:00:00.000Z,234,354,140,
2010-06-12T00:00:00.000Z,193,293,110,
2010-06-13T00:00:00.000Z,220,341,133,
2010-06-14T00:00:00.000Z,233,422,210,
2010-06-15T00:00:00.000Z,255,365,125,
2010-06-16T00:00:00.000Z,183,294,113,
2010-06-17T00:00:00.000Z,188,282,80,
2010-06-18T00:00:00.000Z,174,274,97,
2010-06-19T00:00:00.000Z,204,379,183,
2010-06-20T00:00:00.000Z,222,308,92,
2010-06-21T00:00:00.000Z,243,346,143,
2010-06-22T00:00:00.000Z,219,364,144,
2010-06-23T00:00:00.000Z,251,350,119,
2010-06-24T00:00:00.000Z,222,368,144,
2010-06-25T00:00:00.000Z,195,249,59,
2010-06-26T00:00:00.000Z,186,249,56,
2010-06-27T00:00:00.000Z,211,316,110,
2010-06-28T00:00:00.000Z,194,289,103,
2010-06-29T00:00:00.000Z,229,401,202,
2010-06-30T00:00:00.000Z,244,450,232,
2010-07-01T00:00:00.000Z,249,401,164,
2010-07-02T00:00:00.000Z,205,378,173,
2010-07-03T00:00:00.000Z,244,358,131,
2010-07-04T00:00:00.000Z,191,437,246,
2010-07-05T00:00:00.000Z,204,380,175,
2010-07-06T00:00:00.000Z,188,268,79,
2010-07-07T00:00:00.000Z,207,383,182,
2010-07-08T00:00:00.000Z,208,314,109,
2010-07-09T00:00:00.000Z,253,348,114,
2010-07-10T00:00:00.000Z,229,402,184,
2010-07-11T00:00:00.000Z,432,587,259,
2010-07-12T00:00:00.000Z,3323,3551,1699,
2010-07-13T00:00:00.000Z,1733,1998,842,
2010-07-14T00:00:00.000Z,6478,6763,5665,
2010-07-15T00:00:00.000Z,1508,2008,1002,
2010-07-16T00:00:00.000Z,1340,1723,794,
2010-07-17T00:00:00.000Z,447,804,436,0.04951
2010-07-18T00:00:00.000Z,467,917,541,0.07263
2010-07-19T00:00:00.000Z,605,972,493,0.08515
2010-07-20T00:00:00.000Z,674,906,517,0.078035
2010-07-21T00:00:00.000Z,469,809,430,0.072775
2010-07-22T00:00:00.000Z,434,599,243,0.066155
2010-07-23T00:00:00.000Z,434,652,277,0.059085
2010-07-24T00:00:00.000Z,706,964,630,0.05605
2010-07-25T00:00:00.000Z,1847,2132,1766,0.054955
