"DateTime","Netflow","Price"
"2018-04-16 00:00:00",141682.08,8408.49
"2018-04-23 00:00:00",151105.32,9172.56
"2018-04-30 00:00:00",-1900.48284,9451.31
"2018-05-07 00:00:00",-10393.667291,8969.41
"2018-05-14 00:00:00",110755.53,8367.89
"2018-05-21 00:00:00",-32.931756,7746.34
"2018-05-28 00:00:00",-11026.794031,7464.82
"2018-06-04 00:00:00",49657.17,7538.83
"2018-06-11 00:00:00",12669.27,6548.73
"2018-06-18 00:00:00",20814.14,6470.06
"2018-06-25 00:00:00",142764.37,6179.54
"2018-07-02 00:00:00",-15972.339379,6541.09
"2018-07-09 00:00:00",8046.72,6372.74
"2018-07-16 00:00:00",6928.09,7250.52
"2018-07-23 00:00:00",-4370.43262,8061.97
"2018-07-30 00:00:00",33486.1,7545.46
"2018-08-06 00:00:00",6316.26,6521.82
"2018-08-13 00:00:00",16033.25,6364.34
"2018-08-20 00:00:00",7529.32,6552.37
"2018-08-27 00:00:00",38241.74,7030.93
"2018-09-03 00:00:00",16143.9,6747.21
"2018-09-10 00:00:00",-14904.978088,6402.38
"2018-09-17 00:00:00",-212.957665,6510.05
"2018-09-24 00:00:00",-2144.365914,6573.91
"2018-10-01 00:00:00",-15743.202047,6566.69
"2018-10-08 00:00:00",17441.95,6426.29
"2018-10-15 00:00:00",18648.98,6566.94
"2018-10-22 00:00:00",67468.72,6476.42
"2018-10-29 00:00:00",34555.51,6366.32
"2018-11-05 00:00:00",7755.78,6438.93
"2018-11-12 00:00:00",7943.37,5854.65
"2018-11-19 00:00:00",41537.81,4421.69
"2018-11-26 00:00:00",33427.78,4064.87
"2018-12-03 00:00:00",18161.37,3694.07
"2018-12-10 00:00:00",30792.38,3363.57
"2018-12-17 00:00:00",25024.88,3840.59
"2018-12-24 00:00:00",71178.6,3887.3
"2018-12-31 00:00:00",-2457.142739,3873.53
"2019-01-07 00:00:00",135541.05,3853.96
"2019-01-14 00:00:00",102434.5,3659.89
"2019-01-21 00:00:00",-3693.065389,3578.68
"2019-01-28 00:00:00",13311.62,3456.19
"2019-02-04 00:00:00",-9943.130759,3503.56
"2019-02-11 00:00:00",24423.22,3622.53
"2019-02-18 00:00:00",20105.73,3954.07
"2019-02-25 00:00:00",12980.25,3823.4
"2019-03-04 00:00:00",30371.14,3863.55
"2019-03-11 00:00:00",11623.2,3916.33
"2019-03-18 00:00:00",4193.15,4006.34
"2019-03-25 00:00:00",13517.73,4027.36
"2019-04-01 00:00:00",-15921.111369,4857
"2019-04-08 00:00:00",14730.46,5168.76
"2019-04-15 00:00:00",7166.35,5230.41
"2019-04-22 00:00:00",-10885.412303,5339.97
"2019-04-29 00:00:00",28987.1,5512.5
"2019-05-06 00:00:00",67226.92,6277.21
"2019-05-13 00:00:00",-14993.587635,7708.43
"2019-05-20 00:00:00",46843.05,7960.18
"2019-05-27 00:00:00",287139.54,8600.83
"2019-06-03 00:00:00",295228.77,7892.25
"2019-06-10 00:00:00",75717.83,8317.08
"2019-06-17 00:00:00",190498.77,9770.35
"2019-06-24 00:00:00",84091.98,11670.09
"2019-07-01 00:00:00",37720.37,11101.88
"2019-07-08 00:00:00",124501.24,11697.52
"2019-07-15 00:00:00",9318.57,10286.26
"2019-07-22 00:00:00",-1439.895053,9863.02
"2019-07-29 00:00:00",56271.86,10172.12
"2019-08-05 00:00:00",8643.79,11651.48
"2019-08-12 00:00:00",21144.93,10509.55
"2019-08-19 00:00:00",70697.35,10323.38
"2019-08-26 00:00:00",-17078.845964,9845.5
"2019-09-02 00:00:00",98139.73,10469.8
"2019-09-09 00:00:00",-8817.826896,10247.79
"2019-09-16 00:00:00",10950.01,10131.12
"2019-09-23 00:00:00",6034.76,8544.23
"2019-09-30 00:00:00",47.12,8186.08
"2019-10-07 00:00:00",4832.22,8362.3
"2019-10-14 00:00:00",116765.7,8121.82
"2019-10-21 00:00:00",2139.16,8382.08
"2019-10-28 00:00:00",7528.9,9297.53
"2019-11-04 00:00:00",1625.81,9149.22
"2019-11-11 00:00:00",5608.53,8664.84
"2019-11-18 00:00:00",176414.98,7712.5
"2019-11-25 00:00:00",70969.52,7384.94
"2019-12-02 00:00:00",180073.53,7424.7
"2019-12-09 00:00:00",66308.02,7247.74
"2019-12-16 00:00:00",74986.31,7089.19
"2019-12-23 00:00:00",72248.12,7313.15
"2019-12-30 00:00:00",10490.23,7251.52
"2020-01-06 00:00:00",7740.91,7969.01
"2020-01-13 00:00:00",246505.57,8661.38
"2020-01-20 00:00:00",-4538.570756,8515.54
"2020-01-27 00:00:00",29292.22,9242.04
"2020-02-03 00:00:00",195513.89,9628.43
"2020-02-10 00:00:00",36882.28,10120.51
"2020-02-17 00:00:00",-14030.964363,9743.1
"2020-02-24 00:00:00",117836.79,8996.16
"2020-03-02 00:00:00",-13990.101805,8849.42
"2020-03-09 00:00:00",26373.42,6561.87
"2020-03-16 00:00:00",139626.78,5687.18
"2020-03-23 00:00:00",36864.54,6441.13
"2020-03-30 00:00:00",109394.93,6645.2
"2020-04-06 00:00:00",-16567.369773,7112.51
"2020-04-13 00:00:00",-21831.155751,6955.44
"2020-04-20 00:00:00",2196.04,7276.17
"2020-04-27 00:00:00",73225.11,8490.68
"2020-05-04 00:00:00",3488.29,9274.32
"2020-05-11 00:00:00",-9830.497814,9239.1
"2020-05-18 00:00:00",-6737.830226,9353.31
"2020-05-25 00:00:00",2118.03,9231.05
"2020-06-01 00:00:00",15702.04,9694.27
"2020-06-08 00:00:00",-3295.074858,9577.49
"2020-06-15 00:00:00",64093.72,9347.11
"2020-06-22 00:00:00",95272.06,9292.1
"2020-06-29 00:00:00",21820.26,9118.68
"2020-07-06 00:00:00",14940.09,9270.99
"2020-07-13 00:00:00",-611.921974,9182.38
"2020-07-20 00:00:00",512.02,9510.08
"2020-07-27 00:00:00",9975.84,11127.91
"2020-08-03 00:00:00",173257.22,11512.79
"2020-08-10 00:00:00",-8252.870396,11679.56
"2020-08-17 00:00:00",15083.08,11811.59
"2020-08-24 00:00:00",4287.36,11492.92
"2020-08-31 00:00:00",-22368.592794,10936.76
"2020-09-07 00:00:00",10541.59,10275.65
"2020-09-14 00:00:00",13170.45,10853.31
"2020-09-21 00:00:00",-17485.39599,10585.88
"2020-09-28 00:00:00",22427.77,10671.64
"2020-10-05 00:00:00",13598.98,10907.52
"2020-10-12 00:00:00",-8518.456197,11419.51
"2020-10-19 00:00:00",79725.11,12577.56
"2020-10-26 00:00:00",74287.59,13437.01
"2020-11-02 00:00:00",66002.96,14559.16
"2020-11-09 00:00:00",33029.16,15770.33
"2020-11-16 00:00:00",-7862.101484,17766.92
"2020-11-23 00:00:00",38199.08,18008.4
"2020-11-30 00:00:00",51279.51,19034.35
"2020-12-07 00:00:00",146877.6,18546.49
"2020-12-14 00:00:00",191451.33,21611.11
"2020-12-21 00:00:00",22511.32,24224.25
"2020-12-28 00:00:00",117317.24,29136.61
"2021-01-04 00:00:00",42083.82,36369.55
"2021-01-11 00:00:00",10314.65,35923.17
"2021-01-18 00:00:00",15323.19,33803.78
"2021-01-25 00:00:00",52886.08,32943.28
"2021-02-01 00:00:00",39574.35,36851.1
"2021-02-08 00:00:00",112719.25,46292.85
"2021-02-15 00:00:00",64783.29,52158.52
"2021-02-22 00:00:00",64681.49,48417.1
"2021-03-01 00:00:00",62489.12,48908.08
"2021-03-08 00:00:00",56677.29,55939.13
"2021-03-15 00:00:00",44702.98,57401.9
"2021-03-22 00:00:00",31902.87,54412.72
"2021-03-29 00:00:00",5957.23,58155.27
"2021-04-05 00:00:00",117819.97,58314.76
"2021-04-12 00:00:00",124063.02,61088.15
"2021-04-19 00:00:00",72931.14,52577.46
"2021-04-26 00:00:00",65830.19,55050.31
"2021-05-03 00:00:00",57815.19,56899.07
"2021-05-10 00:00:00",81042.46,51596.39
"2021-05-17 00:00:00",10406.14,39095.7
"2021-05-24 00:00:00",86319.79,37254.63
"2021-05-31 00:00:00",55597.4,36826.35
"2021-06-07 00:00:00",39758.52,35667.85
"2021-06-14 00:00:00",15900.06,37880.95
"2021-06-21 00:00:00",5428.03,32852.72
"2021-06-28 00:00:00",-2981.371407,34523.22
"2021-07-05 00:00:00",-1825.108059,33827.18
"2021-07-12 00:00:00",13529.96,32280.38
"2021-07-19 00:00:00",-6052.614447,32308.82
"2021-07-26 00:00:00",91109.22,39825.49
"2021-08-02 00:00:00",27622.58,40850.32
"2021-08-09 00:00:00",24019.08,45865.19
"2021-08-16 00:00:00",19358.09,47027.07
"2021-08-23 00:00:00",95043.82,48567.28
"2021-08-30 00:00:00",48696.24,49013.58
"2021-09-06 00:00:00",205723.6,47035.36
"2021-09-13 00:00:00",69559.13,47083.04
"2021-09-20 00:00:00",80923.54,42956.96
"2021-09-27 00:00:00",52415.35,44503.99
"2021-10-04 00:00:00",67212.24,52988.37
"2021-10-11 00:00:00",-965.378228,58175.49
"2021-10-18 00:00:00",86229.79,62422.23
"2021-10-25 00:00:00",38978.28,61167.98
"2021-11-01 00:00:00",-1302.286187,61807.9
"2021-11-08 00:00:00",42178.29,65218.33
"2021-11-15 00:00:00",44183.79,59934.79
"2021-11-22 00:00:00",14122.38,56516.62
"2021-11-29 00:00:00",97191.21,54631.61
"2021-12-06 00:00:00",75684.76,49375.4
